DISTRITO,UNIDADE,AREA,IDADE,USU_HOMEM,USU_MULHER,CONS_HOMEM,CONS_MULHER
Centro,CS AGRONÔMICA,0,0,25,33,81,85
Centro,CS AGRONÔMICA,0,1,22,23,66,79
Centro,CS AGRONÔMICA,0,2,20,21,52,49
Centro,CS AGRONÔMICA,0,3,8,12,23,22
Centro,CS AGRONÔMICA,0,4,11,10,21,14
Centro,CS AGRONÔMICA,0,5,10,6,24,14
Centro,CS AGRONÔMICA,0,6,4,6,10,8
Centro,CS AGRONÔMICA,0,7,10,6,13,9
Centro,CS AGRONÔMICA,0,8,6,7,12,17
Centro,CS AGRONÔMICA,0,9,7,8,23,14
Centro,CS AGRONÔMICA,0,10,5,6,11,9
Centro,CS AGRONÔMICA,0,11,6,5,9,9
Centro,CS AGRONÔMICA,0,12,4,8,8,20
Centro,CS AGRONÔMICA,0,13,7,7,15,11
Centro,CS AGRONÔMICA,0,14,7,9,11,22
Centro,CS AGRONÔMICA,0,15,3,6,14,11
Centro,CS AGRONÔMICA,0,16,5,21,12,47
Centro,CS AGRONÔMICA,0,17,9,18,20,70
Centro,CS AGRONÔMICA,0,18,9,21,12,70
Centro,CS AGRONÔMICA,0,19,6,22,16,80
Centro,CS AGRONÔMICA,0,20,6,25,17,96
Centro,CS AGRONÔMICA,0,21,5,26,11,108
Centro,CS AGRONÔMICA,0,22,12,27,45,146
Centro,CS AGRONÔMICA,0,23,16,24,48,117
Centro,CS AGRONÔMICA,0,24,13,27,34,113
Centro,CS AGRONÔMICA,0,25,16,19,37,94
Centro,CS AGRONÔMICA,0,26,19,26,63,125
Centro,CS AGRONÔMICA,0,27,9,15,22,51
Centro,CS AGRONÔMICA,0,28,16,21,42,67
Centro,CS AGRONÔMICA,0,29,12,20,27,112
Centro,CS AGRONÔMICA,0,30,10,21,24,64
Centro,CS AGRONÔMICA,0,31,14,19,34,108
Centro,CS AGRONÔMICA,0,32,16,27,36,115
Centro,CS AGRONÔMICA,0,33,7,23,32,107
Centro,CS AGRONÔMICA,0,34,6,15,9,64
Centro,CS AGRONÔMICA,0,35,11,33,26,108
Centro,CS AGRONÔMICA,0,36,8,17,47,77
Centro,CS AGRONÔMICA,0,37,9,24,27,112
Centro,CS AGRONÔMICA,0,38,14,14,42,68
Centro,CS AGRONÔMICA,0,39,11,15,41,32
Centro,CS AGRONÔMICA,0,40,8,12,16,66
Centro,CS AGRONÔMICA,0,41,6,19,20,67
Centro,CS AGRONÔMICA,0,42,5,8,10,24
Centro,CS AGRONÔMICA,0,43,7,14,17,53
Centro,CS AGRONÔMICA,0,44,6,10,18,33
Centro,CS AGRONÔMICA,0,45,11,5,26,21
Centro,CS AGRONÔMICA,0,46,4,5,7,27
Centro,CS AGRONÔMICA,0,47,2,12,3,70
Centro,CS AGRONÔMICA,0,48,5,16,10,69
Centro,CS AGRONÔMICA,0,49,9,15,33,65
Centro,CS AGRONÔMICA,0,50,10,8,28,30
Centro,CS AGRONÔMICA,0,51,3,9,12,27
Centro,CS AGRONÔMICA,0,52,4,7,24,38
Centro,CS AGRONÔMICA,0,53,8,17,32,69
Centro,CS AGRONÔMICA,0,54,4,12,11,47
Centro,CS AGRONÔMICA,0,55,6,16,14,66
Centro,CS AGRONÔMICA,0,56,8,14,28,61
Centro,CS AGRONÔMICA,0,57,8,8,43,27
Centro,CS AGRONÔMICA,0,58,6,6,23,31
Centro,CS AGRONÔMICA,0,59,4,12,19,44
Centro,CS AGRONÔMICA,0,60,4,6,16,23
Centro,CS AGRONÔMICA,0,61,6,7,15,32
Centro,CS AGRONÔMICA,0,62,7,10,19,35
Centro,CS AGRONÔMICA,0,63,5,7,20,32
Centro,CS AGRONÔMICA,0,64,11,8,35,34
Centro,CS AGRONÔMICA,0,65,4,6,8,18
Centro,CS AGRONÔMICA,0,66,3,7,6,29
Centro,CS AGRONÔMICA,0,67,3,3,6,5
Centro,CS AGRONÔMICA,0,68,1,6,4,44
Centro,CS AGRONÔMICA,0,69,3,5,13,16
Centro,CS AGRONÔMICA,0,70,5,6,25,18
Centro,CS AGRONÔMICA,0,71,1,1,1,6
Centro,CS AGRONÔMICA,0,72,1,4,1,15
Centro,CS AGRONÔMICA,0,73,4,2,10,14
Centro,CS AGRONÔMICA,0,74,4,2,21,8
Centro,CS AGRONÔMICA,0,75,1,4,6,20
Centro,CS AGRONÔMICA,0,76,2,3,12,11
Centro,CS AGRONÔMICA,0,77,2,4,4,9
Centro,CS AGRONÔMICA,0,78,4,1,9,5
Centro,CS AGRONÔMICA,0,79,1,4,1,13
Centro,CS AGRONÔMICA,0,80,0,5,0,21
Centro,CS AGRONÔMICA,0,81,3,1,8,3
Centro,CS AGRONÔMICA,0,82,1,2,5,16
Centro,CS AGRONÔMICA,0,83,0,3,0,14
Centro,CS AGRONÔMICA,0,84,2,1,20,3
Centro,CS AGRONÔMICA,0,85,1,2,7,8
Centro,CS AGRONÔMICA,0,86,0,1,0,6
Centro,CS AGRONÔMICA,0,87,1,2,4,3
