Faixa;Masculino;Feminino;Total
0 a 4 anos;13280;11962;25242
5 a 9 anos;13590;13605;27195
10 a 14 anos;15084;14944;30028
15 a 19 anos;16366;16455;32821
20 a 24 anos;19816;18902;38718
25 a 29 anos;22659;21442;44101
30 a 34 anos;23270;23022;46292
35 a 39 anos;20414;20209;40623
40 a 44 anos;15945;16317;32262
45 a 49 anos;14590;16066;30656
50 a 54 anos;14619;16453;31072
55 a 59 anos;12184;14407;26591
60 a 64 anos;10161;12159;22320
65 a 69 anos;7196;8742;15938
70 a 74 anos;4363;5453;9816
75 a 79 anos;2801;4254;7055
80 anos ou mais;2880;6080;8960
